articleID:ID(Article)	title
57	From Threads to Smart Textile - Parametric Characterization and Electromagnetic Analysis of Woven Structures.
58	Registration Center Based User Authentication Scheme for Smart E-Governance Applications in Smart Cities.
59	A Game-Theoretical Modelling Approach for Enhancing the Physical Layer Security of Non-Orthogonal Multiple Access System.
60	Null-Steering Beamforming for Enhancing the Physical Layer Security of Non-Orthogonal Multiple Access System.
61	Impact of Two-Way Communication of Traffic Light Signal-to-Vehicle on the Electric Vehicle State of Charge.
62	Interactive Data Exploration of Distributed Raw Files - A Systematic Mapping Study.
63	Improving Multipath Routing of TCP Flows by Network Exploration.
64	A Family of Scalable Non-Isolated Interleaved DC-DC Boost Converters With Voltage Multiplier Cells.
65	Cognitive Smart Healthcare for Pathology Detection and Monitoring.
66	Advanced Fault Tolerant Air-Fuel Ratio Control of Internal Combustion Gas Engine for Sensor and Actuator Faults.
67	APA - Adaptive Pose Alignment for Pose-Invariant Face Recognition.
68	A Novel Fuzzy Approach for Combining Uncertain Conflict Evidences in the Dempster-Shafer Theory.
69	Wireless Control of Robotic Artificial Hand Using Myoelectric Signal Based on Wideband Human Body Communication.
70	Deployment of IoV for Smart Cities - Applications, Architecture, and Challenges.
71	98-dB Gain Class-AB OTA With 100 pF Load Capacitor in 180-nm Digital CMOS Process.
72	Device-to-Device (D2D) Communication as a Bootstrapping System in a Wireless Cellular Network.
73	An Empirical Study on Forensic Analysis of Urdu Text Using LDA-Based Authorship Attribution.
74	A Survey on Cluster-Based Routing Protocols for Unmanned Aerial Vehicle Networks.
75	Long-Term Operational Data Analysis of an In-Service Wind Turbine DFIG.
76	A Novel RF-Powered Wireless Pacing via a Rectenna-Based Pacemaker and a Wearable Transmit-Antenna Array.
77	Analysis of Transient Behavior of Mixed High Voltage DC Transmission Line Under Lightning Strikes.
78	Attribute Control Chart Using the Repetitive Sampling Under Neutrosophic System.
79	Design of a Control Chart for Gamma Distributed Variables Under the Indeterminate Environment.
80	Real-Time Imaging of Particles Distribution in Centrifugal Particles-Liquid Two-Phase Fields by Wireless Electrical Resistance Tomography (WERT) System.
81	Friction Damper-Based Passive Vibration Control Assessment for Seismically-Excited Buildings Through Comparison With Active Control - A Case Study.
82	Circuit Aware Approximate System Design With Case Studies in Image Processing and Neural Networks.
83	ISO/IEEE 11073 Personal Health Device (X73-PHD) Standards Compliant Systems - A Systematic Literature Review.
84	Low Leakage Current Symmetrical Dual-k 7 nm Trigate Bulk Underlap FinFET for Ultra Low Power Applications.
85	An Adaptive Sliding Mode Control With Effective Switching Gain Tuning Near the Sliding Surface.
86	Finite-Difference Time-Domain Modeling for Electromagnetic Wave Analysis of Human Voxel Model at Millimeter-Wave Frequencies.
87	BIG DATA for Healthcare - A Survey.
88	Weighted Incoherent Signal Subspace Method for DOA Estimation on Wideband Colored Signals.
89	Development of a Novel Home Based Multi-Scene Upper Limb Rehabilitation Training and Evaluation System for Post-Stroke Patients.
90	Scientific Paper Recommendation - A Survey.
91	Performance of HARQ-Assisted OFDM Systems Contaminated by Impulsive Noise - Finite-Length LDPC Code Analysis.
92	Series Current Flow Controllers for DC Grids.
93	Integrated Test Automation for Evaluating a Motion-Based Image Capture System Using a Robotic Arm.
94	Incast Mitigation in a Data Center Storage Cluster Through a Dynamic Fair-Share Buffer Policy.
95	Machine Learning Based Optimized Pruning Approach for Decoding in Statistical Machine Translation.
96	Research on Series Arc Fault Detection Based on Higher-Order Cumulants.
97	A Secure Authentication Protocol for Multi-Server-Based E-Healthcare Using a Fuzzy Commitment Scheme.
98	VERB - VFCDM-Based Electrocardiogram Reconstruction and Beat Detection Algorithm.
99	MF-TDMA Scheduling Algorithm for Multi-Spot Beam Satellite Systems Based on Co-Channel Interference Evaluation.
100	Automated 3-D Retinal Layer Segmentation From SD-OCT Images With Neurosensory Retinal Detachment.
101	Energy-Delay Evaluation and Optimization for NB-IoT PSM With Periodic Uplink Reporting.
102	A High-Speed, Scalable, and Programmable Traffic Manager Architecture for Flow-Based Networking.
103	Ultrafast Rectifier for Variable-Frequency Applications.
104	Quality-Driven Detection and Resolution of Metamodel Smells.
105	Low-Power (1T1N) Skyrmionic Synapses for Spiking Neuromorphic Systems.
106	A Modified NSGA-II for Solving Control Allocation Optimization Problem in Lateral Flight Control System for Large Aircraft.
107	Mitigating the Impact of Renewable Variability With Demand-Side Resources Considering Communication and Cyber Security Limitations.
108	Analyzing Emergent Users&apos; Text Messages Data and Exploring Its Benefits.
109	Semiparametric Correction for Endogenous Truncation Bias With Vox Populi-Based Participation Decision.
110	Model Predictive Control of Marine Power Plants With Gas Engines and Battery.
111	Multi-Band Vehicle-to-Vehicle Channel Characterization in the Presence of Vehicle Blockage.
112	Analyzing Covariate Influence on Gender and Race Prediction From Near-Infrared Ocular Images.
113	Experimental Design via Generalized Mean Objective Cost of Uncertainty.
114	Realistic Multi-Scale Modeling of Household Electricity Behaviors.
115	Analytical Performance Assessment of THz Wireless Systems.
116	Deriving Probabilistic SVM Kernels From Flexible Statistical Mixture Models and its Application to Retinal Images Classification.
117	Day-Ahead and Intraday Forecasts of the Dynamic Line Rating for Buried Cables.
118	Compact Leaky SIW Feeder Offering TEM Parallel Plate Waveguide Launching.
119	Design and Measurement of 3D Flexible Antenna Diversity for Ambient RF Energy Scavenging in Indoor Scenarios.
120	Low-Profile ESPAR Antenna for RSS-Based DoA Estimation in IoT Applications.
121	Removal of Movement Artefact for Mobile EEG Analysis in Sports Exercises.
122	Design of a Coupled Feed Structure With Cavity Walls for Extremely Small Anti-Jamming Arrays.
123	An Efficient Strong Designated Verifier Signature Based on ℛ-SIS Assumption.
124	Robust Model Predictive Control for a Class of Discrete-Time Markovian Jump Linear Systems With Operation Mode Disordering.
125	Link Prediction Approach for Opportunistic Networks Based on Recurrent Neural Network.
126	A New Adaptive Compensation Control for Parametric Systems With Actuator Aging.
127	Event-Triggered Adaptive Control for Tank Gun Control Systems.
128	Bibliographic Network Representation Based Personalized Citation Recommendation.
129	Classification of 3D Archaeological Objects Using Multi-View Curvature Structure Signatures.
130	Periodic Stabilization of Continuous-Time Multi-Module Impulsive Switched Linear Systems.
131	Recent Advances of Generative Adversarial Networks in Computer Vision.
132	A Robust Parameter-Free Thresholding Method for Image Segmentation.
133	A Relay-Node Selection on Curve Road in Vehicular Networks.
134	Reliable Integrated ASC and DYC Control of All-Wheel-Independent-Drive Electric Vehicles Over CAN Using a Co-Design Methodology.
135	Assessment of Energy Management in a Fuel Cell/Battery Hybrid Vehicle.
136	Method to Organize and Analyze Speed Data to Detect Unusual Traffic Activity.
137	Distributed Continuous-Time Fault Estimation Control for Multiple Devices in IoT Networks.
138	Visualization and Interpretation Tool for Expert Systems Based on Fuzzy Cognitive Maps.
139	A Case for Malleable Thread-Level Linear Algebra Libraries - The LU Factorization With Partial Pivoting.
140	Radio Channel Characterization of Mid-Band 5G Service Delivery for Ultra-Low Altitude Aerial Base Stations.
141	Recommendation System Based on Singular Value Decomposition and Multi-Objective Immune Optimization.
142	Modeling Educational Usage of Cloud-Based Tools in Virtual Learning Environments.
143	Prune Deep Neural Networks With the Modified L1/2 Penalty.
144	Machine-Learning-Based Parallel Genetic Algorithms for Multi-Objective Optimization in Ultra-Reliable Low-Latency WSNs.
145	A Session-Based Customer Preference Learning Method by Using the Gated Recurrent Units With Attention Function.
146	Hash-Polar Codes With Application to 5G.
147	An Effective Approach for Obtaining a Group Trading Strategy Portfolio Using Grouping Genetic Algorithm.
148	Optimized Handling Stability Control Strategy for a Four In-Wheel Motor Independent-Drive Electric Vehicle.
149	Performance Improvement of Microwave Vector Modulator Through Coupler Characteristic Impedance Optimization and Bond-Wire Inductance Utilization.
150	Design of Low-Cost Personal Identification System That Uses Combined Palm Vein and Palmprint Biometric Features.
151	Deep Learning Assessment of Myocardial Infarction From MR Image Sequences.
152	Bone Suppression of Chest Radiographs With Cascaded Convolutional Networks in Wavelet Domain.
153	One Note About the Tu-Deng Conjecture in Case w nolimits(t)=5.
154	Optimal Transport for Gaussian Mixture Models.
155	Embedding Logic Rules Into Recurrent Neural Networks.
156	Selective Range Iterative Adaptive Approach for High-Resolution DOA Estimation.
157	XGBoost-Based Algorithm Interpretation and Application on Post-Fault Transient Stability Status Prediction of Power System.
158	Study on Planetary Gear Degradation State Recognition Method Based on the Features With Multiple Perspectives and LLTSA.
159	Metaphor Detection - Leveraging Culturally Grounded Eventive Information.
160	Noncoherent Detection With Polar Codes.
161	UAV Hovering Strategy Based on a Wirelessly Powered Communication Network.
162	Recurrent Metric Networks and Batch Multiple Hypothesis for Multi-Object Tracking.
163	Accurate and Fast Harmonic Detection Based on the Generalized Trigonometric Function Delayed Signal Cancellation.
164	Optimizing Multi-Granularity Region Similarity for Person Re-Identification.
165	Energy Efficiency Analysis of Bidirectional Wireless Information and Power Transfer for Cooperative Sensor Networks.
166	Sparse DOA Estimation Algorithm Based on Fourth-Order Cumulants Vector Exploiting Restricted Non-Uniform Linear Array.
167	A Spherical Actuator-Based Hand-Held Haptic Device for Touch Screen Interaction.
168	Adaptive Neural-Network-Based Control for a Class of Nonlinear Systems With Unknown Output Disturbance and Time Delays.
169	An Easily Fabricated Linear Piezoelectric Actuator Using Sandwich Longitudinal Vibrators With Four Driving Feet.
170	Towards a Hybrid Expert System Based on Sleep Event&apos;s Threshold Dependencies for Automated Personalized Sleep Staging by Combining Symbolic Fusion and Differential Evolution Algorithm.
171	Square-Root Cubature Information Hybrid Consensus Filter With Correlated Noise and Its Applications in Camera Networks.
172	Optical Modeling and Physical Experiments on Ocular UV Manikins Exposure.
173	Liveness of Disjunctive and Strict Single-Type Automated Manufacturing System - An ROPN Approach.
174	Quantum Network Communication With a Novel Discrete-Time Quantum Walk.
175	A Secure Authentication Protocol for Internet of Vehicles.
176	Light-Weight and Privacy-Preserving Authentication Protocol for Mobile Payments in the Context of IoT.
177	Multiview Transfer Learning for Software Defect Prediction.
178	A Failure Mechanism Cumulative Model for Reliability Evaluation of a k-Out-of-n System With Load Sharing Effect.
179	Automatic Leader-Follower Persistent Formation Control for Autonomous Surface Vehicles.
180	Next Generation Technology for Epidemic Prevention and Control - Data-Driven Contact Tracking.
181	Universal Design Approach for Multiport Filtering Power Divider.
182	Reverse Offload Programming on Heterogeneous Systems.
183	Numerical Analysis of Thermo-Electric Field for AC XLPE Cable in DC Operation Based on Conduction Current Measurement.
184	High-Gain Circularly Polarized Fabry-Pérot Patch Array Antenna With Wideband Low-Radar-Cross-Section Property.
185	An Active Learning Method Based on Uncertainty and Complexity for Gearbox Fault Diagnosis.
186	Multi-Resolution Parallel Magnetic Resonance Image Reconstruction in Mobile Computing-Based IoT.
187	A Horst-Type Power Divider With Wide Frequency Tuning Range Using Varactors.
188	Reinforcement Learning-Based Sensor Access Control for WBANs.
189	Planning City-Wide Package Distribution Schemes Using Crowdsourced Public Transportation Systems.
190	Research on Travel Time Prediction Model of Freeway Based on Gradient Boosting Decision Tree.
191	A Modified GLT Double Faults Isolation Approach Based on MLE and RPV for Six-Gyro Redundant SINS.
192	Optimal Planning of Multi-Energy System Considering Thermal Storage Capacity of Heating Network and Heat Load.
193	Health Status Prediction Based on Belief Rule Base for High-Speed Train Running Gear System.
194	Ego-Lane Position Identification With Event Warning Applications.
195	The Installation Performance Control of Three Ducts Separate Exhaust Variable Cycle Engine.
196	Lag Exponential Synchronization of Delayed Memristor-Based Neural Networks via Robust Analysis.
197	Not in My Neighborhood - A User Equipment Perspective of Cellular Planning Under Restrictive EMF Limits.
198	Application of Instance-Based Entropy Fuzzy Support Vector Machine in Peer-To-Peer Lending Investment Decision.
199	Multistage Fusion With Dissimilarity Regularization for SAR/IR Target Recognition.
200	A Self-Organized Task Distribution Framework for Module-Based Event Stream Processing.
201	Analysing the Dynamics of Interbeat Interval Time Series Using Grouped Horizontal Visibility Graph.
202	Reference Layer Artefact Subtraction (RLAS) - Electromagnetic Simulations.
203	Prior Image Induced Regularization Method for Electrical Capacitance Tomography.
204	Generative Adversarial Network-Based Method for Transforming Single RGB Image Into 3D Point Cloud.
205	220-320 GHz Hemispherical Lens Antennas Using Digital Light Processed Photopolymers.
206	Patient-Provider Interaction System for Efficient Home-Based Cardiac Rehabilitation Exercise.
207	Big Data Driven Oriented Graph Theory Aided tagSNPs Selection for Genetic Precision Therapy.
208	MA-Shape - Modality Adaptation Shape Regression for Left Ventricle Segmentation on Mixed MR and CT Images.
209	Protective Performance of Different Passivators on Oil-Paper Insulation Containing Multiple Corrosive Sulphides.
210	A Scalable Approach for 360° Feedback in Cooperative Learning.
211	A Study on the Suitability of Visual Languages for Non-Expert Robot Programmers.
212	A Review of the Analytics Techniques for an Efficient Management of Online Forums - An Architecture Proposal.
213	Empirical Rates Characterization of Wearable Multi-Antenna Terminals for First-Responders.
214	Automated Optimization of Intersections Using a Genetic Algorithm.
215	Hard Sample Mining and Learning for Skeleton-Based Human Action Recognition and Identification.
216	On-Chip Optical Vector Quadrature De-Multiplexer Proposal for QAM De-Aggregation by Single Bi-Directional SOA-Based Phase-Sensitive Amplifier.
217	WSN-Based Measurement of Ion-Current Density Under High-Voltage Direct Current Transmission Lines.
218	Limited-View Cone-Beam CT Reconstruction Based on an Adversarial Autoencoder Network With Joint Loss.
219	Neurosurgical Craniotomy Localization Using Interactive 3D Lesion Mapping for Image-Guided Neurosurgery.
220	Joint Model Feature Regression and Topic Learning for Global Citation Recommendation.
221	Evaluation of SPN-Based Lightweight Crypto-Ciphers.
222	A Simple and Robust Sensorless Control Based on Stator Current Vector for PMSG Wind Power Systems.
223	Edge Odd Graceful Labeling of Cylinder and Torus Grid Graphs.
224	Zero-/Low-Speed Operation of Multiphase Drive Systems With Modular Multilevel Converters.
225	A Robust Calibration Method for Consumer Grade RGB-D Sensors for Precise Indoor Reconstruction.
226	All Passive Realization of Lossy Coupling Matrices Using Resistive Decomposition Technique.
227	Grid Ancillary Services From Doubly Fed Induction Generator-Based Wind Energy Conversion System - A Review.
228	Hierarchical Verification for the BPMN Design Model Using State Space Analysis.
229	The Feasibility of Automated Identification of Six Algae Types Using Feed-Forward Neural Networks and Fluorescence-Based Spectral-Morphological Features.
230	An End-to-End Multi-Task and Fusion CNN for Inertial-Based Gait Recognition.
231	Task Scheduling for Smart City Applications Based on Multi-Server Mobile Edge Computing.
232	cGAN Based Facial Expression Recognition for Human-Robot Interaction.
233	Time-Varying Social-Aware Resource Allocation for Device-to-Device Communication.
234	Performance Investigation of Three-Phase Three-Switch Direct PWM AC/AC Voltage Converters.
235	Direct Adaptive Neural Control Design for a Class of Nonlinear Multi Input Multi Output Systems.
236	Development of Super-Resolution Sharpness-Based Axial Localization for Ultrasound Imaging.
237	Joint Computing Resource, Power, and Channel Allocations for D2D-Assisted and NOMA-Based Mobile Edge Computing.
238	The Internet of Things - A Review of Enabled Technologies and Future Challenges.
239	IT2-Based Fuzzy Hybrid Decision Making Approach to Soft Computing.
240	Combining Adaptive Hierarchical Depth Motion Maps With Skeletal Joints for Human Action Recognition.
241	Performance Analysis of Mixed-ADC Massive MIMO Systems Over Spatially Correlated Channels.
242	Stability Analysis of Boolean Networks With Stochastic Function Perturbations.
243	A Multidimensional Cadastral Topological Data Model - Design and Implementation.
244	Design of Reconfigurable Planar Micro-Positioning Stages Based on Function Modules.
245	An Energy Efficient Integration Model for Sensor Cloud Systems.
246	Adapted K-Nearest Neighbors for Detecting Anomalies on Spatio-Temporal Traffic Flow.
247	A Survey on Urban Traffic Anomalies Detection Algorithms.
248	Efficient and Accurate Detection and Frequency Estimation of Multiple Sinusoids.
249	Visible Light Communication-Based Vehicle-to-Vehicle Tracking Using CMOS Camera.
250	Compact UWB Antenna With Integrated Triple Notch Bands for WBAN Applications.
251	Heading Control of Unmanned Marine Vehicles Based on an Improved Robust Adaptive Fuzzy Neural Network Control Algorithm.
252	An Efficient Deadlock Recovery Policy for Flexible Manufacturing Systems Modeled With Petri Nets.
253	Integrating Social Homophily and Network Lasso for Personalized Sentiment Classification.
254	Local Descriptor Learning for Change Detection in Synthetic Aperture Radar Images via Convolutional Neural Networks.
255	A Compact Single-Layer Ultra-Wideband Phase Shifter Using Weakly Coupled Lines.
256	An Improved Hyperspectral Pansharpening Algorithm Based on Optimized Injection Model.
257	The Sensitivity Design of Piezoresistive Acceleration Sensor in Industrial IoT.
258	Tuning the Aggressive Slow-Start Behavior of MPTCP for Short Flows.
259	Understanding Time-Based Trends in Stakeholders&apos; Choice of Learning Activity Type Using Predictive Models.
260	Weakly Supervised Deep Depth Prediction Leveraging Ground Control Points for Guidance.
261	Adaptive Robust Control of Multi-Axle Vehicle Electro-Hydraulic Power Steering System With Uncertain Tire Steering Resistance Moment.
262	Oil-in-Water Two-Phase Flow Pattern Identification From Experimental Snapshots Using Convolutional Neural Network.
263	Unified Subspace Fitting Framework and Its Performance Analysis for Direct Position Determination in the Presence of Multipath Propagation.
264	Analysis of the Factors Affecting Airborne Digital Sensor Image Quality.
265	Reversible Image Steganography Scheme Based on a U-Net Structure.
266	Research on the Isolation and Collection Method of Multi-Channel Temperature and Power Supply Voltage Under Strong Marine Controlled Source EMI.
267	Terahertz Dielectric Property Characterization of Photopolymers for Additive Manufacturing.
268	Algorithms for Automatic Analysis and Classification of Heart Sounds-A Systematic Review.
269	Differential Cryptanalysis of Round-Reduced SPECK Suitable for Internet of Things Devices.
270	Development of a Mobile Game Application to Boost Students&apos; Motivation in Learning English Vocabulary.
271	An Unsupervised Reconstruction-Based Fault Detection Algorithm for Maritime Components.
272	Semi-Supervised Learning With Deep Embedded Clustering for Image Classification and Segmentation.
273	Comparative Study of Inkjet-Printed Silver Conductive Traces With Thermal and Electrical Sintering.
274	Effective Fat Quantification Using Multiple Region Growing Scheme at High-Field MRI.
275	A Scalable Indirect Position-Based Causal Diffusion Protocol for Vehicular Networks.
276	Rectangular Dielectric Resonator Antenna With Corrugated Walls.
277	A Survey of Stereoscopic 3D Just Noticeable Difference Models.
278	Kinematic Analysis of Trajectory Dimension-Dependent Sensorimotor Control in Arm Tracking.
279	Designing Constant-Envelope Transmissions for Secret Communications in MISO Wiretap Channels.
280	Secure Wireless Information and Power Transfer Based on Tilt Adaptation in 3-D Massive MIMO Systems.
281	Damping Rotating Grid SINS Based on a Kalman Filter for Shipborne Application.
282	AC Flashover Performance of FRP Hot Stick for Live Working in High Altitude Areas.
283	FETMS - Fast and Efficient Trust Management Scheme for Information-Centric Networking in Internet of Things.
284	Edge Cache-Based ISP-CP Collaboration Scheme for Content Delivery Services.
285	Block-Based Optical Color Image Encryption Based on Double Random Phase Encoding.
286	Comments on &quot;Stability, l2-Gain, and Robust H∞ Control for Switched Systems via N-Step-Ahead Lyapunov Function Approach&quot;.
287	SPADE - Activity Prediction in Smart Homes Using Prefix Tree Based Context Generation.
288	Composition of Partially-Observable Services.
289	Linear-Time Algorithm for Learning Large-Scale Sparse Graphical Models.
290	Directional Receivers for Diffusion-Based Molecular Communications.
291	A Conformal Magneto-Electric Dipole Antenna With Wide H-Plane and Band-Notch Radiation Characteristics for Sub-6-GHz 5G Base-Station.
292	Cryptanalysis and Improvement of the Image Encryption Scheme Based on 2D Logistic-Adjusted-Sine Map.
293	Private Data Acquisition Method Based on System-Level Data Migration and Volatile Memory Forensics for Android Applications.
294	Power Control in Relay-Assisted Anti-Jamming Systems - A Bayesian Three-Layer Stackelberg Game Approach.
295	Novel Broadband Bow-Tie Antenna Based on Complementary Split-Ring Resonators Enhanced Substrate-Integrated Waveguide.
296	An Energy-Efficient and Fast Convergent Resource Allocation Algorithm in Distributed Wireless Ad Hoc Networks.
297	Two-Timescale Resource Allocation for Wireless Powered D2D Communications With Self-Interested Nodes.
298	Drift-Aware Methodology for Anomaly Detection in Smart Grid.
299	Profiling Performance of Application Partitioning for Wearable Devices in Mobile Cloud and Fog Computing.
300	On the Application of Massive MIMO Systems to Machine Type Communications.
301	On Electromagnetic Radiation Control for Wireless Power Transfer in Adhoc Communication Networks - Key Issues and Challenges.
302	On Improving Recovery Performance in Multiple Measurement Vector Having Dependency.
303	A Review on Blockchain Technologies for an Advanced and Cyber-Resilient Automotive Industry.
304	Dynamically Reconstructing Minimum Spanning Trees After Swapping Pairwise Vertices.
305	Scene-Awareness Based Single Image Dehazing Technique via Automatic Estimation of Sky Area.
306	Adaptive Neural-Based Finite-Time Trajectory Tracking Control for Underactuated Marine Surface Vessels With Position Error Constraint.
307	Timing Channel in IaaS - How to Identify and Investigate.
308	Big Production Enterprise Supply Chain Endogenous Risk Management Based on Blockchain.
309	Depth-Based Human Detection Considering Postural Diversity and Depth Missing in Office Environment.
310	When Time Matters - Predictive Mission Planning in Cyber-Physical Scenarios.
311	Large-Scale Analysis of User Exposure to Online Advertising on Facebook.
312	A Hybrid Model Based on Constraint OSELM, Adaptive Weighted SRC and KNN for Large-Scale Indoor Localization.
313	Effect of Boundary Condition and Model Structure Integrity of Tooth-PDL-Bone Complex on Tooth Mode Computation.
314	Wavelet Denoising Algorithm Based on NDOA Compressed Sensing for Fluorescence Image of Microarray.
315	The Large-Small Group-Based Consensus Decision Method and Its Application to Teaching Management Problems.
316	Image Denoising Based on HOSVD With Iterative-Based Adaptive Hard Threshold Coefficient Shrinkage.
317	Diagnosis of Diabetic Retinopathy Using Deep Neural Networks.
318	Info-Trust - A Multi-Criteria and Adaptive Trustworthiness Calculation Mechanism for Information Sources.
319	Fixed-Time Attitude Tracking Control for Rigid Spacecraft With Actuator Misalignments and Faults.
320	Fusion Image Based Radar Signal Feature Extraction and Modulation Recognition.
321	Secure RFID Authentication Schemes Based on Security Analysis and Improvements of the USI Protocol.
322	Single Image Super-Resolution Using Dual-Branch Convolutional Neural Network.
323	Collaboration of Smart IoT Devices Exemplified With Smart Cupboards.
324	Higher Order Sectorization in FFR-Aided OFDMA Cellular Networks - Spectral- and Energy-Efficiency.
325	Stacked Denoising Extreme Learning Machine Autoencoder Based on Graph Embedding for Feature Representation.
326	Robust Long-Term Spectrum Prediction With Missing Values and Sparse Anomalies.
327	160-GHz Radar Proximity Sensor With Distributed and Flexible Antennas for Collaborative Robots.
328	Toward High-Performance Implementation of 5G SCMA Algorithms.
329	A Generic Spatiotemporal UAV Scheduling Framework for Multi-Event Applications.
330	Towards a Knowledge-Based Recommender System for Linking Electronic Patient Records With Continuing Medical Education Information at the Point of Care.
331	Low-Cost and Efficient Hardware Solution for Presentation Attack Detection in Fingerprint Biometrics Using Special Lighting Microscopes.
332	High-Order Planar Bandpass Filters With Electronically-Reconfigurable Passband Width and Flatness Based on Adaptive Multi-Resonator Cascades.
333	Using Transposition Padding to Get CCA2 Security From Any Deterministic Encryption Schemes.
334	Intrinsic Image Sequence Decomposition Using Low-Rank Sparse Model.
335	Adaptive Multivariable Control for Multiple Resource Allocation of Service-Based Systems in Cloud Computing.
336	A Symbiotic Organisms Search Algorithm for Optimal Allocation of Blood Products.
337	Real-Time Interference Identification via Supervised Learning - Embedding Coexistence Awareness in IoT Devices.
338	Uncertainty-Aware Computational Tools for Power Distribution Networks Including Electrical Vehicle Charging and Load Profiles.
339	Health and Safety Situation Awareness Model and Emergency Management Based on Multi-Sensor Signal Fusion.
340	A Cooperation Analysis Method Using Internal and External Features for Mechanical and Electro-Hydraulic System.
341	Deterministic Compressed Sensing Matrices From Sequences With Optimal Correlation.
342	Achieving Semantic Secure Search in Cloud Supported Information-Centric Internet of Things.
343	Deformable Cardiovascular Image Registration via Multi-Channel Convolutional Neural Network.
344	Successive Cancellation Priority Decoding of Polar Codes.
