:START_ID(Edition)	pages	:END_ID(Article)
aspdac1	1-11	13227
aspdac1	1-11	13228
aspdac1	1-11	13229
aspdac1	1-11	13230
aspdac1	1-11	13231
aspdac1	1-11	13232
aspdac1	1-11	13233
aspdac1	1-11	13234
aspdac1	1-11	13235
aspdac1	1-11	13236
aspdac1	1-11	13237
aspdac1	1-11	13238
aspdac1	1-11	13239
aspdac1	1-11	13240
aspdac1	1-11	13241
aspdac1	1-11	13242
aspdac1	1-11	13243
aspdac1	1-11	13244
aspdac1	1-11	13245
aspdac1	1-11	13246
aspdac1	1-11	13247
aspdac1	1-11	13248
automation1	1-11	13249
automation1	1-11	13250
automation1	1-11	13251
automation1	1-11	13252
automation1	1-11	13253
automation1	1-11	13254
automation1	1-11	13255
automation1	1-11	13256
automation1	1-11	13257
automation1	1-11	13258
automation1	1-11	13259
automation1	1-11	13260
automation1	1-11	13261
automation1	1-11	13262
automation1	1-11	13263
automation1	1-11	13264
automation1	1-11	13265
automation1	1-11	13266
automation1	1-11	13267
automation1	1-11	13268
automation1	1-11	13269
automation1	1-11	13270
automation1	1-11	13271
automation1	1-11	13272
automation1	1-11	13273
automation1	1-11	13274
automation1	1-11	13275
automation1	1-11	13276
automation1	1-11	13277
automation1	1-11	13278
automation1	1-11	13279
automation1	1-11	13280
automation1	1-11	13281
automation1	1-11	13282
automation1	1-11	13283
automation1	1-11	13284
automation1	1-11	13285
automation1	1-11	13286
automation1	1-11	13287
automation1	1-11	13288
automation1	1-11	13289
automation1	1-11	13290
automation1	1-11	13291
automation1	1-11	13292
automation1	1-11	13293
automation1	1-11	13294
automation1	1-11	13295
automation1	1-11	13296
automation1	1-11	13297
automation1	1-11	13298
automation1	1-11	13299
automation1	1-11	13300
automation1	1-11	13301
automation1	1-11	13302
automation1	1-11	13303
automation1	1-11	13304
automation1	1-11	13305
automation1	1-11	13306
automation1	1-11	13307
automation1	1-11	13308
automation1	1-11	13309
automation1	1-11	13310
automation1	1-11	13311
automation1	1-11	13312
automation1	1-11	13313
automation1	1-11	13314
automation1	1-11	13315
bildmed1	1-11	13316
bildmed1	1-11	13317
bildmed1	1-11	13318
bildmed1	1-11	13319
bildmed1	1-11	13320
bildmed1	1-11	13321
bildmed1	1-11	13322
bildmed1	1-11	13323
bildmed1	1-11	13324
bildmed1	1-11	13325
bildmed1	1-11	13326
bildmed1	1-11	13327
bildmed1	1-11	13328
bildmed1	1-11	13329
bildmed1	1-11	13330
bildmed1	1-11	13331
bildmed1	1-11	13332
bildmed1	1-11	13333
bildmed1	1-11	13334
bildmed1	1-11	13335
bildmed1	1-11	13336
bildmed1	1-11	13337
bildmed1	1-11	13338
bildmed1	1-11	13339
bildmed1	1-11	13340
bildmed1	1-11	13341
bildmed1	1-11	13342
bildmed1	1-11	13343
bildmed1	1-11	13344
bildmed1	1-11	13345
bildmed1	1-11	13346
bildmed1	1-11	13347
bildmed1	1-11	13348
bildmed1	1-11	13349
bildmed1	1-11	13350
bildmed1	1-11	13351
bildmed1	1-11	13352
bildmed1	1-11	13353
bildmed1	1-11	13354
bildmed1	1-11	13355
bildmed1	1-11	13356
bildmed1	1-11	13357
bildmed1	1-11	13358
bildmed1	1-11	13359
bildmed1	1-11	13360
bildmed1	1-11	13361
bildmed1	1-11	13362
bildmed1	1-11	13363
bildmed1	1-11	13364
bildmed1	1-11	13365
bildmed1	1-11	13366
bildmed1	1-11	13367
bildmed1	1-11	13368
bildmed1	1-11	13369
bildmed1	1-11	13370
bildmed1	1-11	13371
bildmed1	1-11	13372
bildmed1	1-11	13373
bildmed1	1-11	13374
bildmed1	1-11	13375
bildmed1	1-11	13376
bildmed1	1-11	13377
bildmed1	1-11	13378
bildmed1	1-11	13379
bildmed1	1-11	13380
bildmed1	1-11	13381
bildmed1	1-11	13382
bildmed1	1-11	13383
bildmed1	1-11	13384
bildmed1	1-11	13385
bildmed1	1-11	13386
bildmed1	1-11	13387
bildmed1	1-11	13388
bildmed1	1-11	13389
bildmed1	1-11	13390
caldam1	1-11	13391
caldam1	1-11	13392
caldam1	1-11	13393
caldam1	1-11	13394
caldam1	1-11	13395
caldam1	1-11	13396
caldam1	1-11	13397
caldam1	1-11	13398
caldam1	1-11	13399
caldam1	1-11	13400
caldam1	1-11	13401
caldam1	1-11	13402
caldam1	1-11	13403
caldam1	1-11	13404
caldam1	1-11	13405
caldam1	1-11	13406
caldam1	1-11	13407
caldam1	1-11	13408
caldam1	1-11	13409
caldam1	1-11	13410
caldam1	1-11	13411
caldam1	1-11	13412
caldam1	1-11	13413
cc1	1-11	13414
cc1	1-11	13415
cc1	1-11	13416
cc1	1-11	13417
cc1	1-11	13418
cc1	1-11	13419
cc1	1-11	13420
cc1	1-11	13421
cc1	1-11	13422
cc1	1-11	13423
cc1	1-11	13424
cc1	1-11	13425
cc1	1-11	13426
cc1	1-11	13427
cc1	1-11	13428
cc1	1-11	13429
cc1	1-11	13430
cc1	1-11	13431
cep1	1-11	13432
cep1	1-11	13433
cep1	1-11	13434
cep1	1-11	13435
cep1	1-11	13436
cep1	1-11	13437
cep1	1-11	13438
cep1	1-11	13439
cep1	1-11	13440
cep1	1-11	13441
cep1	1-11	13442
cep1	1-11	13443
cep1	1-11	13444
cep1	1-11	13445
cep1	1-11	13446
cep1	1-11	13447
cidr1	1-11	13448
cidr1	1-11	13449
cidr1	1-11	13450
cidr1	1-11	13451
cidr1	1-11	13452
cidr1	1-11	13453
cidr1	1-11	13454
cidr1	1-11	13455
cidr1	1-11	13456
cidr1	1-11	13457
cidr1	1-11	13458
cidr1	1-11	13459
cidr1	1-11	13460
cidr1	1-11	13461
cidr1	1-11	13462
cidr1	1-11	13463
cidr1	1-11	13464
cidr1	1-11	13465
cidr1	1-11	13466
cidr1	1-11	13467
cidr1	1-11	13468
cidr1	1-11	13469
cidr1	1-11	13470
cidr1	1-11	13471
cidr1	1-11	13472
cidr1	1-11	13473
cidr1	1-11	13474
cidr1	1-11	13475
cidr1	1-11	13476
cidr1	1-11	13477
cidr1	1-11	13478
cidr1	1-11	13479
cidr1	1-11	13480
cidr1	1-11	13481
cidr1	1-11	13482
cidr1	1-11	13483
cidr1	1-11	13484
cidr1	1-11	13485
cidr1	1-11	13486
cidr1	1-11	13487
cidr1	1-11	13488
cidr1	1-11	13489
cidr1	1-11	13490
cidr1	1-11	13491
cidr1	1-11	13492
cidr1	1-11	13493
cidr1	1-11	13494
cidr1	1-11	13495
cidr1	1-11	13496
cidr1	1-11	13497
comad1	1-11	13498
comad1	1-11	13499
comad1	1-11	13500
comad1	1-11	13501
comad1	1-11	13502
comad1	1-11	13503
comad1	1-11	13504
comad1	1-11	13505
comad1	1-11	13506
comad1	1-11	13507
comad1	1-11	13508
comad1	1-11	13509
comad1	1-11	13510
comad1	1-11	13511
comad1	1-11	13512
comad1	1-11	13513
comad1	1-11	13514
comad1	1-11	13515
comad1	1-11	13516
comad1	1-11	13517
comad1	1-11	13518
comad1	1-11	13519
comad1	1-11	13520
comad1	1-11	13521
comad1	1-11	13522
comad1	1-11	13523
comad1	1-11	13524
comad1	1-11	13525
comad1	1-11	13526
comad1	1-11	13527
comad1	1-11	13528
comad1	1-11	13529
comad1	1-11	13530
comad1	1-11	13531
comad1	1-11	13532
comad1	1-11	13533
comad1	1-11	13534
comad1	1-11	13535
comad1	1-11	13536
comad1	1-11	13537
comad1	1-11	13538
comad1	1-11	13539
comad1	1-11	13540
comad1	1-11	13541
comad1	1-11	13542
comad1	1-11	13543
comad1	1-11	13544
comad1	1-11	13545
comad1	1-11	13546
comad1	1-11	13547
comad1	1-11	13548
comad1	1-11	13549
comad1	1-11	13550
comad1	1-11	13551
comad1	1-11	13552
comad1	1-11	13553
comad1	1-11	13554
comad1	1-11	13555
comad1	1-11	13556
comad1	1-11	13557
comad1	1-11	13558
comad1	1-11	13559
cpp1	1-11	13560
cpp1	1-11	13561
cpp1	1-11	13562
cpp1	1-11	13563
cpp1	1-11	13564
cpp1	1-11	13565
cpp1	1-11	13566
cpp1	1-11	13567
cpp1	1-11	13568
cpp1	1-11	13569
cpp1	1-11	13570
cpp1	1-11	13571
cpp1	1-11	13572
cpp1	1-11	13573
cpp1	1-11	13574
cpp1	1-11	13575
cpp1	1-11	13576
cpp1	1-11	13577
cpp1	1-11	13578
cpp1	1-11	13579
cpp1	1-11	13580
ctic1	1-11	13581
ctic1	1-11	13582
ctic1	1-11	13583
ctic1	1-11	13584
ctic1	1-11	13585
ctic1	1-11	13586
ctic1	1-11	13587
ctic1	1-11	13588
ctic1	1-11	13589
ctic1	1-11	13590
ctic1	1-11	13591
ctic1	1-11	13592
ctic1	1-11	13593
ctic1	1-11	13594
ctrsa1	1-11	13595
ctrsa1	1-11	13596
ctrsa1	1-11	13597
ctrsa1	1-11	13598
ctrsa1	1-11	13599
ctrsa1	1-11	13600
ctrsa1	1-11	13601
ctrsa1	1-11	13602
ctrsa1	1-11	13603
ctrsa1	1-11	13604
ctrsa1	1-11	13605
ctrsa1	1-11	13606
ctrsa1	1-11	13607
ctrsa1	1-11	13608
ctrsa1	1-11	13609
ctrsa1	1-11	13610
ctrsa1	1-11	13611
ctrsa1	1-11	13612
ctrsa1	1-11	13613
ctrsa1	1-11	13614
ctrsa1	1-11	13615
ctrsa1	1-11	13616
ctrsa1	1-11	13617
ctrsa1	1-11	13618
ctrsa1	1-11	13619
ctrsa1	1-11	13620
ctrsa1	1-11	13621
ctrsa1	1-11	13622
enter1	1-11	13623
enter1	1-11	13624
enter1	1-11	13625
enter1	1-11	13626
enter1	1-11	13627
enter1	1-11	13628
enter1	1-11	13629
enter1	1-11	13630
enter1	1-11	13631
enter1	1-11	13632
enter1	1-11	13633
enter1	1-11	13634
enter1	1-11	13635
enter1	1-11	13636
enter1	1-11	13637
enter1	1-11	13638
enter1	1-11	13639
enter1	1-11	13640
enter1	1-11	13641
enter1	1-11	13642
enter1	1-11	13643
enter1	1-11	13644
enter1	1-11	13645
enter1	1-11	13646
enter1	1-11	13647
enter1	1-11	13648
enter1	1-11	13649
enter1	1-11	13650
enter1	1-11	13651
enter1	1-11	13652
enter1	1-11	13653
enter1	1-11	13654
enter1	1-11	13655
enter1	1-11	13656
enter1	1-11	13657
f-egc1	1-11	13658
f-egc1	1-11	13659
f-egc1	1-11	13660
f-egc1	1-11	13661
f-egc1	1-11	13662
f-egc1	1-11	13663
f-egc1	1-11	13664
f-egc1	1-11	13665
f-egc1	1-11	13666
f-egc1	1-11	13667
f-egc1	1-11	13668
f-egc1	1-11	13669
f-egc1	1-11	13670
f-egc1	1-11	13671
f-egc1	1-11	13672
f-egc1	1-11	13673
f-egc1	1-11	13674
f-egc1	1-11	13675
f-egc1	1-11	13676
f-egc1	1-11	13677
f-egc1	1-11	13678
f-egc1	1-11	13679
f-egc1	1-11	13680
f-egc1	1-11	13681
f-egc1	1-11	13682
f-egc1	1-11	13683
f-egc1	1-11	13684
f-egc1	1-11	13685
f-egc1	1-11	13686
f-egc1	1-11	13687
f-egc1	1-11	13688
f-egc1	1-11	13689
f-egc1	1-11	13690
f-egc1	1-11	13691
f-egc1	1-11	13692
f-egc1	1-11	13693
f-egc1	1-11	13694
f-egc1	1-11	13695
f-egc1	1-11	13696
f-egc1	1-11	13697
f-egc1	1-11	13698
f-egc1	1-11	13699
f-egc1	1-11	13700
f-egc1	1-11	13701
f-egc1	1-11	13702
f-egc1	1-11	13703
f-egc1	1-11	13704
f-egc1	1-11	13705
f-egc1	1-11	13706
f-egc1	1-11	13707
f-egc1	1-11	13708
f-egc1	1-11	13709
f-egc1	1-11	13710
f-egc1	1-11	13711
f-egc1	1-11	13712
f-egc1	1-11	13713
f-egc1	1-11	13714
f-egc1	1-11	13715
f-egc1	1-11	13716
f-egc1	1-11	13717
f-egc1	1-11	13718
f-egc1	1-11	13719
f-egc1	1-11	13720
f-egc1	1-11	13721
f-egc1	1-11	13722
f-egc1	1-11	13723
f-egc1	1-11	13724
f-egc1	1-11	13725
f-egc1	1-11	13726
hm1	1-11	13727
hm1	1-11	13728
hm1	1-11	13729
hm1	1-11	13730
hm1	1-11	13731
hm1	1-11	13732
hm1	1-11	13733
hm1	1-11	13734
hm1	1-11	13735
hm1	1-11	13736
hm1	1-11	13737
hm1	1-11	13738
hm1	1-11	13739
hm1	1-11	13740
hm1	1-11	13741
hm1	1-11	13742
hpcasia1	1-11	13743
hpcasia1	1-11	13744
hpcasia1	1-11	13745
hpcasia1	1-11	13746
hpcasia1	1-11	13747
hpcasia1	1-11	13748
hpcasia1	1-11	13749
hpcasia1	1-11	13750
hpcasia1	1-11	13751
hpcasia1	1-11	13752
hpcasia1	1-11	13753
hpcasia1	1-11	13754
hpcasia1	1-11	13755
hpcasia1	1-11	13756
hpcasia1	1-11	13757
icdcit1	1-11	13758
icdcit1	1-11	13759
icdcit1	1-11	13760
icdcit1	1-11	13761
icdcit1	1-11	13762
icdcit1	1-11	13763
icdcit1	1-11	13764
icdcit1	1-11	13765
icdcit1	1-11	13766
icdcit1	1-11	13767
icdcit1	1-11	13768
icdcit1	1-11	13769
icdcit1	1-11	13770
icdcit1	1-11	13771
icdcit1	1-11	13772
icdcit1	1-11	13773
icdcit1	1-11	13774
icdcit1	1-11	13775
icdcit1	1-11	13776
icdcit1	1-11	13777
icdcit1	1-11	13778
icdcit1	1-11	13779
icdcit1	1-11	13780
icdcit1	1-11	13781
icdcit1	1-11	13782
icdcit1	1-11	13783
icdcit1	1-11	13784
icdcit1	1-11	13785
icdcit1	1-11	13786
icdcit1	1-11	13787
icdcit1	1-11	13788
icdcit1	1-11	13789
icdcit1	1-11	13790
icdcit1	1-11	13791
icdcit1	1-11	13792
icdcn1	1-11	13793
icdcn1	1-11	13794
icdcn1	1-11	13795
icdcn1	1-11	13796
icdcn1	1-11	13797
icdcn1	1-11	13798
icdcn1	1-11	13799
icdcn1	1-11	13800
icdcn1	1-11	13801
icdcn1	1-11	13802
icdcn1	1-11	13803
icdcn1	1-11	13804
icdcn1	1-11	13805
icdcn1	1-11	13806
icdcn1	1-11	13807
icdcn1	1-11	13808
icdcn1	1-11	13809
icdcn1	1-11	13810
icdcn1	1-11	13811
icdcn1	1-11	13812
icdcn1	1-11	13813
icdcn1	1-11	13814
icdcn1	1-11	13815
icdcn1	1-11	13816
icdcn1	1-11	13817
icdcn1	1-11	13818
icdcn1	1-11	13819
icdcn1	1-11	13820
icdcn1	1-11	13821
icdcn1	1-11	13822
icdcn1	1-11	13823
icdcn1	1-11	13824
icdcn1	1-11	13825
icdcn1	1-11	13826
icdcn1	1-11	13827
icdcn1	1-11	13828
icdcn1	1-11	13829
icdcn1	1-11	13830
icdcn1	1-11	13831
icdcn1	1-11	13832
icdcn1	1-11	13833
icdcn1	1-11	13834
icdcn1	1-11	13835
icdcn1	1-11	13836
icdcn1	1-11	13837
icdcn1	1-11	13838
icdcn1	1-11	13839
icdcn1	1-11	13840
icdcn1	1-11	13841
icdcn1	1-11	13842
icdcn1	1-11	13843
icdcn1	1-11	13844
icdcn1	1-11	13845
icdcn1	1-11	13846
icdcn1	1-11	13847
icdcn1	1-11	13848
icdcn1	1-11	13849
icdcn1	1-11	13850
icdcn1	1-11	13851
icdcn1	1-11	13852
icdcn1	1-11	13853
icdcn1	1-11	13854
icdcn1	1-11	13855
icdcn1	1-11	13856
icdcn1	1-11	13857
icdcn1	1-11	13858
icdcn1	1-11	13859
icdcn1	1-11	13860
icdcn1	1-11	13861
icdcn1	1-11	13862
icdcn1	1-11	13863
icdcn1	1-11	13864
icdcn1	1-11	13865
icdcn1	1-11	13866
icdcn1	1-11	13867
icdcn1	1-11	13868
icdcn1	1-11	13869
icdcn1	1-11	13870
icla1	1-11	13871
icla1	1-11	13872
icla1	1-11	13873
icla1	1-11	13874
icla1	1-11	13875
icla1	1-11	13876
icla1	1-11	13877
icla1	1-11	13878
icla1	1-11	13879
icla1	1-11	13880
icla1	1-11	13881
icla1	1-11	13882
icla1	1-11	13883
icla1	1-11	13884
icla1	1-11	13885
icla1	1-11	13886
icla1	1-11	13887
innovations1	1-11	13888
innovations1	1-11	13889
innovations1	1-11	13890
innovations1	1-11	13891
innovations1	1-11	13892
innovations1	1-11	13893
innovations1	1-11	13894
innovations1	1-11	13895
innovations1	1-11	13896
innovations1	1-11	13897
innovations1	1-11	13898
innovations1	1-11	13899
innovations1	1-11	13900
innovations1	1-11	13901
innovations1	1-11	13902
innovations1	1-11	13903
innovations1	1-11	13904
innovations1	1-11	13905
innovations1	1-11	13906
innovations1	1-11	13907
innovations1	1-11	13908
innovations1	1-11	13909
innovations1	1-11	13910
innovations1	1-11	13911
innovations1	1-11	13912
innovations1	1-11	13913
innovations1	1-11	13914
innovations1	1-11	13915
innovations1	1-11	13916
innovations1	1-11	13917
innovations1	1-11	13918
innovations1	1-11	13919
innovations1	1-11	13920
innovations1	1-11	13921
innovations1	1-11	13922
innovations1	1-11	13923
innovations1	1-11	13924
innovations1	1-11	13925
innovations1	1-11	13926
innovations1	1-11	13927
innovations1	1-11	13928
innovations1	1-11	13929
innovations1	1-11	13930
innovations1	1-11	13931
innovations1	1-11	13932
innovations1	1-11	13933
innovations1	1-11	13934
innovations1	1-11	13935
innovations1	1-11	13936
innovations1	1-11	13937
innovations1	1-11	13938
innovations1	1-11	13939
innovations1	1-11	13940
innovations1	1-11	13941
innovations1	1-11	13942
innovations1	1-11	13943
innovations1	1-11	13944
3dim2	1-11	13945
3dim2	1-11	13946
3dim2	1-11	13947
3dim2	1-11	13948
3dim2	1-11	13949
3dim2	1-11	13950
3dim2	1-11	13951
3dim2	1-11	13952
3dim2	1-11	13953
3dim2	1-11	13954
3dim2	1-11	13955
3dim2	1-11	13956
3dim2	1-11	13957
3dim2	1-11	13958
3dim2	1-11	13959
3dim2	1-11	13960
3dim2	1-11	13961
3dim2	1-11	13962
3dim2	1-11	13963
3dim2	1-11	13964
3dim2	1-11	13965
3dim2	1-11	13966
3dim2	1-11	13967
3dim2	1-11	13968
3dim2	1-11	13969
3dim2	1-11	13970
3dim2	1-11	13971
3dim2	1-11	13972
3dim2	1-11	13973
3dim2	1-11	13974
3dim2	1-11	13975
3dim2	1-11	13976
3dim2	1-11	13977
3dim2	1-11	13978
3dim2	1-11	13979
3dim2	1-11	13980
3dim2	1-11	13981
3dim2	1-11	13982
3dim2	1-11	13983
3dim2	1-11	13984
3dim2	1-11	13985
3dim2	1-11	13986
3dim2	1-11	13987
3dim2	1-11	13988
3dim2	1-11	13989
3dim2	1-11	13990
3dim2	1-11	13991
3dim2	1-11	13992
3dim2	1-11	13993
3dim2	1-11	13994
3dim2	1-11	13995
3dim2	1-11	13996
3dim2	1-11	13997
3dim2	1-11	13998
3dim2	1-11	13999
3dim2	1-11	14000
3dim2	1-11	14001
3dim2	1-11	14002
3dim2	1-11	14003
3dim2	1-11	14004
3dim2	1-11	14005
3dim2	1-11	14006
3dim2	1-11	14007
3dim2	1-11	14008
3dim2	1-11	14009
3dim2	1-11	14010
3dim2	1-11	14011
3dim2	1-11	14012
3dim2	1-11	14013
3dim2	1-11	14014
3dim2	1-11	14015
3dim2	1-11	14016
3dim2	1-11	14017
3dim2	1-11	14018
3dim2	1-11	14019
3dim2	1-11	14020
3dim2	1-11	14021
3dim2	1-11	14022
3dim2	1-11	14023
3dim2	1-11	14024
3dim2	1-11	14025
3dor2	1-11	14026
3dor2	1-11	14027
3dor2	1-11	14028
3dor2	1-11	14029
3dor2	1-11	14030
3dor2	1-11	14031
3dor2	1-11	14032
3dor2	1-11	14033
3dor2	1-11	14034
3dor2	1-11	14035
3dor2	1-11	14036
3dor2	1-11	14037
3dor2	1-11	14038
3dor2	1-11	14039
3dor2	1-11	14040
5gwf2	1-11	14041
5gwf2	1-11	14042
5gwf2	1-11	14043
5gwf2	1-11	14044
5gwf2	1-11	14045
5gwf2	1-11	14046
5gwf2	1-11	14047
5gwf2	1-11	14048
5gwf2	1-11	14049
5gwf2	1-11	14050
5gwf2	1-11	14051
5gwf2	1-11	14052
5gwf2	1-11	14053
5gwf2	1-11	14054
5gwf2	1-11	14055
5gwf2	1-11	14056
5gwf2	1-11	14057
5gwf2	1-11	14058
5gwf2	1-11	14059
5gwf2	1-11	14060
5gwf2	1-11	14061
5gwf2	1-11	14062
5gwf2	1-11	14063
5gwf2	1-11	14064
5gwf2	1-11	14065
5gwf2	1-11	14066
5gwf2	1-11	14067
5gwf2	1-11	14068
5gwf2	1-11	14069
5gwf2	1-11	14070
5gwf2	1-11	14071
5gwf2	1-11	14072
5gwf2	1-11	14073
5gwf2	1-11	14074
5gwf2	1-11	14075
5gwf2	1-11	14076
5gwf2	1-11	14077
5gwf2	1-11	14078
5gwf2	1-11	14079
