:START_ID(Author)	:END_ID(Article)
Eni G. Njoku	11127
Sajjad Abedi	14767
Emna Amouri	13475
Július Stecík	10093
Zeyang Xia	9511
Chih-Wei Chien	3488
Dayang Rohaya Awang Rambli	2642
Ting-I Chou	11447
Lei Wang 0045	15284
Taeko Seki	7213
Ki-Young Nam	19721
Yi-Shin Chen	3602
Edwin Loeff	11118
Tadeusz Habdank-Wojewódzki	15419
Guangrui Tang	9484
Shih-Ken Chen	12262
José Luís Santos	16554
Jennifer Gabrys	10666
Che-Hao Meng	17872
Qicong Zhang	2012
Bonan Yan	15982
Jian Li 0010	19524
Shengyao Chen	2240
Thierry Poinot	4426
Xingwei Xue	6473
Li-Xia Lei	15981
Silvester Saimin	18119
Jesse Weaver	2817
SeYoung Kim	8627
Chang Min Kim	14125
Seungwoo Seo	910
Kotaro Kawataka	18492
Baoliang Wang	13083
Laurent Toutain	3956
Xiaojun Xian	290
M. C. Radhesh Anand	927
Gradimir V. Milovanovic	15662
Guillem Boquet	16066
Antonella Arena	14418
Yoshihiro Sato	3957
Maha El Choubassi	15517
Liting Huang	657
Dmitry N. Gerasimov	9373
Partha P. Pal	18903
Sergio Savino	16008
Jincan Chen	14478
Bastian Leibe	10203
Jeremy Chae	1422
Zai-Cheng Guo	7692
Andrew Ross	6077
Gabriella Carrozza	377
Jianghui Li	4908
Thomas Becker	1099
Laurid Meyer	7416
Siva Sivaraya	10125
Vaidehi Deshmukh	8212
Guiming Luo	18447
Ana Belén Gil	16760
Omar Y. K. Alani	13654
Mengjie Shi	17561
Michael Kuhne	13759
Michael Eisenberg	8367
Haris Akram Bhatti	10622
Jonathan Taylor	16012
Zhejing Bao	7820
Julian J. Bunn	5007
Julian M. Allwood	7016
Amr F. Desouky	10700
Bomi Choi	18192
Enrique Noé	5521
Bingkun Xue	19731
Carlos Henrique De Aguiar	3811
Xueguang Qiao	15185
Michael Rossberg	16654
Manuela F. Frasco	4932
Francesco Giacinto Lavacca	10606
Fei Hu	19178
Jaesik Park	5522
Mary C. Whitton	17188
Seung-Oh Jin	17082
Lakhdar Sais	12500
Dan Zhang	868
Lei Mei	5559
Robert A. Norwood	1987
Myeong Hun Jeong	18685
Evjola Spaho	4239
Andreas Christ	5085
Nobuhide Maeda	9726
Pavlos Mavridis	17108
Shin Min Kang	14599
James Dokyoon Kim	2411
Seemanti Saha	13738
Francesco Marino	16364
Qin Li	1388
Changyeun Mo	13528
Michael Zibulevsky	237
Janet C. Read	15651
Thabo Beeler	3701
Ning Fu	9976
Bernd Zwattendorfer	16762
Jorge Torres-Sánchez	11865
Kaiping Xue	16853
Takuya Iwabuchi	10566
Mayank K. Aditia	1824
Bin Hou	12737
Baiqiong Cao	8009
M. Garabelli	14576
Junyan Qian	2345
Marco Liserre	9646
Erhan Deniz	9606
Guohai Liu	14264
Kotte Vijith Varma	5056
Omid Fakourfar	15007
Wenwu Chen	14252
Rey Wiyatno	5534
Javier Ortego	5845
Jinshu Su	16879
David Llaveria	7557
Chun-Lai Li	15120
Michael Dumbser	5728
Jianshe Song	6101
Chang Woo Lee	46
Safak Dogan	781
Andrzej Bieganowski	26
Yuichi Taguchi	6346
José Rodríguez 0001	9222
Fabio Mottola	8078
Francesco Mattiello	1705
Alexander Bieber	13614
Tarek H. M. El-Fouly	6884
Tatsumi Nakada	9206
Idriss Saleh Bachar	2925
Chih-Chung Huang	14140
Francesco Colao	19657
Stefan Eggert	12697
Massimiliano Pittore	13990
David Al-Khalili	6707
Yun Meng	7269
Yuan-Ko Huang	11712
Montadar Abas Taher	19410
Vítor H. Carvalho	5401
Stefaan Van Huylenbroeck	14177
Fengyuan Zhu	19066
Ahmed Faeq Hussein	8327
Moftah Elzobi	11549
Hiroki Nishiyama	14572
Tathagata Das	18391
Zsuzsanna Lehner	19653
Hannu Kukka	13745
Fatih Aylikçi	7817
Yonghua Xiong	18615
Eugene Syriani	11622
Jicheng Chen	15234
Youn-Jong Park	5968
Ryota Koshiyama	17010
Haishun Sun	18435
Heung-Bum Oh	6548
Ke Wang 0014	16639
Baoping Li	4677
He Xingrong	13216
Arup Mukherji	8107
Maciej Cader	14825
Elham Pazouki	10539
Jelle van Dijk	8782
Rongxin Fang	12783
Daniele Zonta	8520
Shubo Hu	14724
Chenglin Liao	19787
Halife Kodaz	11936
A. M. Nagy	7339
Harald Paganetti	17447
Xingwei Sun	2835
Michael J. Walsh 0001	11739
Zhi-Hao Wu	18380
Dapeng Chen	18637
Long Zhao	19516
Geoffrey Ye Li	763
Felix Barreras	10355
Srinivasan Balapangu	4645
Rachid Ait-Haddou	5739
Yue Wang 0010	16965
Zhaoqian Wang	6234
Stef Kynaston	13346
Silvere Mavoungou	16963
Hongbing Pan	16010
Nitesh V. Chawla	7110
Ikbal Taleb	13318
Zutao Zhang	8738
Ji-Yoon Kang	1704
Wei-Tsung Lin	7400
José V. García-Perez	14920
Yipin Yang	9604
Shunsuke Kimura	3842
Joongki Park	13938
Ivan Miro Panades	14235
Ignaz Eisele	10877
Zhuo Yang	3906
Shreyank N. Gowda	1173
Amit Kumar Gupta	16294
Manuel Díaz	8277
Keizo Oyama	15446
Yuya Kikukawa	13656
Lu Ma	13185
Hao Yi	12988
Tomasz Bieniek	19537
Ki-Hyuk Nam	9836
Parisa Khanipour Roshan	18495
Xiaoyu Chen	1430
Sadia Afrin Raka	13323
Eugenio Roanes-Lozano	2790
Lifang Peng	6207
Claudio Sciascera	18630
Ke Lan	8169
Yan-Yan Hou	2476
Zachary Fitz-Walter	3061
Susmita Dey Manasi	3921
Satoshi Kagami	7919
Yunha Lee	6515
Noureddine Harid	15367
Guangsheng Wu	17435
Yongkweon Jeon	15446
Yong-Chao Liu	6497
Said F. Al-Sarawi	18056
Qi Shan	8658
Eliot Winer	10941
Leida Li	5258
Jianhua Ge	6964
Gustavo Marrero Callicó	12256
Florin Dragos Tanasache	5336
Takakazu Satoh	14571
Anawach Sangswang	2618
Yuanyuan Tang	13537
Carlos Alvarez Bel	11469
Brian Mak	15078
Kosuke Nanbara	3938
Dina S. Deif	11691
Emmanuel Marin	13722
Asta Guobiene	13395
Yin Kang	8874
Wenhua Wu	14646
Tong Yi	11346
Andreas Specht	12783
Xiaoqing Shi	15178
Lianhong Chen	6032
José Luis Ramírez	8297
Xiwei Fan	8450
Heidi Pi Jensen	14481
Guomin Zhan	8624
Andrew M. Webb	5463
Takayuki Ito	5987
Uikyum Kim	13518
Tarkan Aydin	10107
Justine Bizzocchi	6847
Boris Litvak	9587
Holger Winnemöller	13746
Palaniappan Bagavathi Sivakumar	1923
Jie Liu	7176
U. S. Suhas	10325
Hsueh-Chun Lin	15757
Ján Paralic	2122
Raghad Al-Shabandar	16316
Rainer Leupers	4972
Celine Latulipe	4508
Khaled M. Rabie	16028
Huazhong Yang	3950
Yongjun Wang	839
Pawan Subedi	3833
Christos M. Mathas	8154
Yanki Aslan	8180
Marko Niemimaa	5292
Evdoxia Taka	10558
Felipe Cruz-Martinez	12988
XiaoQing Zhu	7058
Dorin Sabin Copaci	10186
Xiaohe Cheng	16810
Jeonghong Park	18675
Taewoong Jeon	8990
Mi Wang	10229
Jungsuk Kim	1749
Qasim Ali 0002	13090
Yong Chen 0007	5091
Zhongyang Fei	10260
J. Ping	9461
Su Yeong Gwon	11258
Zohra Lili-Chabaane	19760
Qingfeng Guan	1096
Thomas Vogelsang	10424
Mario Alberto Ibarra-Manzano	6050
Johannes Link	12654
Haijiang Wang	11595
Fernando Garnacho Vecino	8468
Jun Hong 0008	7167
Dae Y. Kang	2403
Xingfang Feng	7270
Ashu Abdul	17178
Anna G. Stefanopoulou	6463
Sana Ullah	19222
Gan Zheng	18608
Ruichu Cai	19254
Ryutaroh Matsumoto	3028
Marek Solony	6904
Pengcheng Fu	2571
Ye-Hwa Chen	7055
Carlo Alberto Avizzano	7977
H. Esmaeili	8382
Irfan Ullah	8097
Paolo Giaccone	9524
Ivan Svogor	7090
David Faustner	15572
Andrzej Milecki	19863
Jian Tao	4921
Andrea M. Tonello	17244
Yancong Lin	3910
Ernane Antonio Alves Coelho	8978
Jianhua Sun	16372
Eunjung Chae	7235
Zhiqiang Ge	10203
Dragoslav Herceg	18221
Serdar Kadam	5850
Jun Heo	8874
Brendan Ritter	17339
Jin-Ling Lin	10103
Yunpeng Cao	12584
Chenggao Luo	16734
Masashi Kiguchi	860
Ibrahim Ahmed 0001	2383
Shumin Jiang	7402
Zhanwen Xi	17708
Robert L. Larkins	11573
José M. Chaves-González	6589
Long Zhao	13491
Krzysztof Kozlowski	3645
Yunpeng Wang	6126
Junichi Yamagishi	9783
Khubaib Amjad Alam	6619
Mingbin Yu	2981
Ridvan Say	2406
Fernando C. Melo	16449
Tong Heng Lee	18782
Jin-Chun Piao	12418
K. T. Chau	6267
Jie Yin	8192
Christos Koulamas	12261
Jianxin Li	430
Pang-Lung Li	555
André K. Sekunda	2009
Blake Lundstrom	13046
Tayeb Ben Meriem	18649
Markus Michael Müller	4658
Muhammad Imran Khalid	628
Keisuke Fujisaki	14329
Alessandro Bogliolo	1353
Said Hamdioui	6171
Jianzhao Zhang	6890
S. Arun Rahul	3644
Douglas W. Cunningham	608
Mercedes Gallego de la Sacristana	728
ChinLun Lai	5889
Zhang-Hua Fu	11235
Jinyong Yu	14907
Mingda Zhou	6104
Qixing Huang	8977
András Rontó	7319
Salvador Alepuz	8279
Imran Yusuff	16518
Valerio Re	16048
Matthias Heinze	16590
Mehran Assanimoghaddam	5230
Yongfeng Ma	16661
Muhammad Kashif	17498
Riccardo Barberi	16310
Luis Gómez-Miralles	15307
Yinfeng Zhou	5645
Juntae Kim	12282
Symon K. Podilchak	3271
Sk Aziz Ali	11846
Ali Yaver	609
Mingyi Huo	16784
José Fernández-Salmerón	15751
Yalou Huang	6453
Zuping Zhang 0001	7657
Ashwin Machanavajjhala	1133
Bilel Meziane	3344
Jia-Rui Cui	7330
Weimin Pan	5596
Arantxa Uranga	18071
Heejeong Heo	18811
Juntao Sun	10034
Francis E. Idachaba	13075
Alberto Bellini	2002
Hailong Rong	1585
Lukas Dresel	9711
Kuien Liu	4937
Robert H. Morris	10234
Dejan Seatovic	9980
Shiwen Sun	12669
Mirko Reguzzoni	5176
Farouk Laidoudi	5750
Paul Denny	17245
Jindong Wang	13696
Harald Kosch	1630
Pinku Ranjan	1113
Donghai Li	9878
Martin Murer	2769
Alessandro Bazzi	51
Yuen C. Law	8135
Jun He	10857
Noureddine Zerhouni	12866
José I. Leon	17781
Jan Bobolz	7331
Yikun Cai	9576
Antonio Palomares	19278
Mira Dontcheva	16993
Eike Langbehn	2534
Naisen Yu	8708
Hong Liu 0006	11013
William F. Pickard	13204
Xuekun Zhang	19909
Julian Fiérrez-Aguilar	1002
Zhigang Lu	8201
Chrystel Gaber	13650
Bo Yang 0020	18744
Harrynson Ramirez-Murillo	294
Shu-Hui Li	11045
Satoshi Miyata	12419
Suvra Sekhar Das	16433
Claudia Rinaldi	8853
Kamel Madi	4664
Kassaye Yitbarek Yigzaw	12682
Jiaying Ye	700
Zhibin Han	8739
Amith Khandakar	5033
Sudipta Pandit	11361
Fleur Jeanquartier	7143
Amitava Chakraborty	14708
Najiba Mrabet Bellaaj	3945
Jezabel Miriam Molina-Gil	6456
M. G. Gorla	9509
Juan C. Aviles	9956
Marina P. Portilla	18537
Lucía Díaz-Vilariño	3558
Hongxia Wang	10692
Guisheng Fan	12376
Ping-Huan Kuo	19898
Somitra Kumar Sanadhya	11685
Salvador Gutiérrez	19628
Romero Leandro Andersen	1458
K. Liu	17545
Duck Young Kim	3047
Ping Li 0012	353
Jeremy M. Plante	5981
Chi-Seng Lam	16968
Ivor Dulk	7465
Abd. Rahman Ramli	11104
Robert Keight	3049
Asko Nykänen	10430
Mario Paolone	17147
Zhijun Ding	17118
Alberto Zanella	17775
Tanveer Khan	49
Rahel Kruppe	9962
K. Haribabu	14961
Chih-Kai Cheng	8448
Kwok-Yan Lam	14265
Taebeom Kim	16513
Alexandra Mihaita	7563
Hua Yang 0003	17495
Xiaoxin Chen	5151
Gonzalo A. Orcajo	1776
Xiaoguang Cao	7561
Kiyoshi Shibayama	993
Huidong Fan	11743
Nwe New	10087
Hassan Artail	11439
Wen-Jia Fan	11362
Óscar Blanco-Novoa	12793
Taehyoun Kim	3385
Álvaro Marco	3736
Dazhen Lin	7408
Marco Liserre	18094
David Estevez	8021
Shin Hur	9461
Lennart Merkert	17461
Hung-Meng Liang	12471
Bin Wu 0004	6584
Nila Zhang	9443
Kizheppatt Vipin	133
Hossein Shamsi	6282
Olayinka Adeleye	14339
Liang Chen 0007	5255
Guanghui Teng	8444
Bernhard Bauer	13476
Chunshui Xiao	11840
Nuria Novas Castellano	10447
Vadlamani Ravi	3601
Noriyasu Yamamoto	16284
Adrian-Gabriel Morosan	8608
Chiara Corbari	12391
Yuhong Zhang Lmam	10863
Václav Bartos	8352
Subhashish Bhattacharya	14688
Bingqing Zhang	17098
Raquel Fernández-Ramos	753
Angelique Loesch	8707
Ramón Luna Molina	5982
Jennifer Hennessey	9745
Prakash Prabhu	5265
Seongsoo Lee	10727
Jiawan Zhang	2651
Marco Gabella	1022
Claver P. Bhunu	6716
Feng Xiang	14396
Stefano Soatto	16853
Chao Wang 0014	2055
Yundi Chu	13966
Hongyan Liu	2756
Gloria M. Díaz	18262
Ryosuke Watanabe	8600
David Wishart	5804
Nathan Intrator	7007
R. Sudharshan Kaarthik	7522
Kyung-Pyo Yi	260
Yuta Shiihara	11311
Luciano P. Reis	16095
Jinwei He	2351
Taichi Sakabe	13840
I-Lin Tsai	2879
Farid Ghanem	18674
Haisheng Yu	2033
Can Liu	10372
Mignon Park	19688
Xiaojun Ren	2891
Reihaneh Safavi-Naini	18845
Lessy Sutiyono Aji	4821
John C. McCarthy	8336
Fuhu Deng	3495
Ângelo Costa	11313
Orlando Arrieta	18304
Pablo Piñol	73
Giulia Orecchini	9565
Katerina Asimogloy	18116
Carlos Busso	4582
Chao-Qing Dai	7064
Boning Feng	6960
S. Venkata Siva Prasad	14823
Zheng Zhang 0006	1638
Ratnajit Bhattacharjee	16347
Gabriel Hermosilla	10885
Fanghong Guo	520
Rohit Kumar Singh	9209
Edilson Mineiro Sa	15761
Yuchao Qin	821
Hao-Hung Chai	2318
Subramanian Iyer	17038
Lai Choon Kong	19840
Hao-ying Cheng	3764
G. Tanner Jackson	10632
Takayuki Toyama	10886
Jianfeng Yang	18916
Yaochi Zhao	17373
Enrico Mezzetti	8467
Charlie Bramley	16188
Feng Gao 0008	6826
Suresh Ramalingam	5191
Yu-Xing Dai	10785
Ghaith Hattab	10795
Kevin W. Bowyer	3245
Megumi Kasuno	3456
Bryan Ressler	18470
Dragos Rotaru	2172
Divya Kurup	1581
Sourav Chakraborty 0001	7399
Jin-Ho Lee	12696
Lie-Liang Yang	15130
Pablo Sangrà	18859
Qunfei Zhang	4932
Dongyoung Roh	10854
Muhammed Usman Sheikh	3042
Paco Dupont	1810
Chandra Shekhar	500
Kyungjin Park	2160
Fedor F. Balakirev	3308
Declan Casey	10004
Tansel Yucelen	13149
Elena Zheleva	19111
